,Date,Rice,Flour,Pork,Chicken,Egg,Leaf lettuce,Celery,Lettuce,Cabbage,White Radish,Potato,Ginger,cucumber,white gourd,Bitter ground,Green bean,Tomato,Eggplant,Chili,Green pepper,Onion,Garlic,Apple,Banana,Grape,Pear,Watermelon,Carp,chub,Grass carp,crucian,hairtail, yellow croaker
20,2006/11/17,4.07,3.7,12.11,13.56,6.45,1.17,1.23,1.78,0.67,0.76,1.28,2.82,1.7,0.61,3.35,2.95,1.87,1.65,1.81,1.79,1.89,4.91,3.3,2.95,4.29,2.29,2.17,7.67,6.46,9.03,8.96,13.59,20.6
21,2006/11/24,4.15,3.72,12.37,13.69,6.54,1.26,1.22,1.95,0.68,0.79,1.3,2.83,1.94,0.61,3.57,3.32,2,1.74,1.88,1.97,1.98,5.05,3.32,2.93,4.37,2.36,2.24,7.57,6.62,8.96,9.08,13.71,20.41
22,2006/12/1,4.14,3.69,12.56,13.82,6.66,1.59,1.25,2.14,0.72,0.84,1.33,2.82,2.47,0.67,4.2,3.37,2.12,2.02,2.02,2.23,2.01,4.99,3.23,2.91,4.26,2.38,2.1,7.36,6.74,9.15,9.02,13.67,20.28
23,2006/12/8,4.17,3.76,12.83,13.81,6.74,1.87,1.4,2.4,0.74,0.89,1.32,2.96,3.02,0.74,4.69,3.55,2.28,2.22,2.1,2.29,2.06,5,3.27,2.98,4.46,2.47,2.25,7.45,7.18,9.33,9.27,13.93,21.34
24,2006/12/15,4.17,3.78,13.45,13.82,6.83,1.89,1.54,2.66,0.77,0.93,1.38,3,3.14,0.77,4.86,3.51,2.38,2.41,2.23,2.4,2.35,5.14,3.27,2.95,4.39,2.5,2.46,7.59,7.13,9.35,9.09,14.18,20.97
25,2006/12/22,4.2,3.8,13.63,13.74,6.83,2.01,1.56,2.43,0.73,0.95,1.35,2.84,2.94,0.78,4.94,3.36,2.45,2.29,2.2,2.49,2.19,4.83,3.31,3.04,4.38,2.54,2.83,7.44,7.36,9.18,8.92,14.46,21.66
26,2006/12/29,4.2,3.79,13.68,13.82,6.85,2.01,1.54,2.42,0.68,0.89,1.36,2.79,2.93,0.76,4.63,3.75,2.44,2.41,2.27,2.63,2.22,5,3.4,3,4.5,2.7,3.23,7.39,6.95,9.09,8.88,14.03,20.76
27,2007/1/5,4.21,3.84,13.7,13.99,6.87,2.19,1.62,2.73,0.73,0.92,1.38,2.78,3.13,0.86,4.87,3.83,2.34,2.65,2.53,2.82,2.25,5.16,3.37,3.02,4.53,2.71,3.53,7.3,6.73,9.07,8.77,14.23,20.95
28,2007/1/12,4.23,3.83,13.72,13.83,6.85,2.01,1.55,2.63,0.67,0.88,1.4,2.79,2.86,0.92,4.42,3.73,2.25,2.74,2.36,2.77,2.23,5.12,3.35,3.05,4.5,2.68,3.68,7.37,6.74,9.04,8.84,14.49,21.98
29,2007/1/19,4.21,3.84,13.97,13.83,6.84,1.85,1.53,2.56,0.67,0.84,1.38,2.72,2.4,0.96,4.76,3.89,2.22,2.55,2.26,2.66,2.19,4.92,3.36,3.15,4.45,2.63,3.81,7.35,6.64,8.87,8.66,13.92,20.52
30,2007/1/26,4.21,3.86,13.89,13.82,6.84,1.73,1.46,2.5,0.65,0.82,1.36,2.66,2.23,0.97,4.84,3.97,2.21,2.62,2.49,2.64,2.24,4.86,3.42,3.3,4.66,2.63,4,7.39,6.44,8.67,8.68,13.8,20.32
31,2007/2/2,4.23,3.81,13.73,13.85,6.88,1.63,1.49,2.38,0.63,0.78,1.41,2.7,2.26,1.01,5.42,4.47,2.2,2.67,2.74,2.88,2.18,4.87,3.43,3.33,4.75,2.75,4.26,7.38,6.53,8.71,8.8,13.57,20.18
32,2007/2/9,4.23,3.8,13.71,13.85,6.93,1.52,1.41,2.2,0.58,0.79,1.38,2.74,2.59,1.02,5.85,4.85,2.29,2.63,2.88,2.9,2.13,4.76,3.67,3.53,4.8,2.73,4.17,7.63,6.82,8.89,8.98,13.7,20.57
33,2007/2/16,4.2,3.81,13.9,14.18,7.09,1.82,1.57,2.38,0.71,0.93,1.46,2.85,3.29,1.11,6.58,6.12,2.73,3.09,3.48,3.57,2.28,4.95,3.8,3.51,4.87,2.75,4.24,8.11,7.2,9.41,9.22,14.22,22.14
34,2007/2/23,4.23,3.82,13.82,14.26,7.08,1.77,1.48,2.3,0.7,0.84,1.46,2.84,2.96,1.08,6.28,5.53,2.54,3.04,3.79,3.5,2.22,4.91,3.91,3.61,5.08,2.82,4.14,8.29,7.2,9.42,9.28,14.12,20.97
35,2007/3/2,4.21,3.81,13.53,14.24,7.04,1.5,1.26,2.08,0.63,0.81,1.49,2.74,2.86,1.11,5.89,5.73,2.39,2.74,3.87,3.47,2.19,4.8,3.56,3.71,4.98,2.73,4.21,7.71,6.88,8.93,8.74,13.54,20.33
36,2007/3/9,4.22,3.8,13.28,14.2,6.99,1.89,1.35,2.39,0.7,0.84,1.5,2.76,3.47,1.2,5.82,5.08,2.5,3.28,4.07,3.84,2.11,4.7,3.68,3.59,5.03,2.66,4.03,7.93,7,9.34,9.01,13.87,20.43
37,2007/3/16,4.22,3.77,13.16,14.13,6.92,1.82,1.32,2.51,0.69,0.87,1.46,2.8,2.94,1.23,5.52,4.65,2.3,3.17,3.97,3.71,2.09,4.47,3.54,3.71,4.89,2.59,3.8,7.89,6.88,9.22,9.13,13.85,21.69
38,2007/3/23,4.2,3.77,13.06,14.12,6.86,1.92,1.41,2.75,0.77,0.87,1.5,2.84,2.68,1.32,5.17,4.75,2.34,3.04,4.18,4,1.94,4.36,3.56,3.68,4.88,2.48,3.56,7.82,6.79,9.05,9.07,13.94,21.29
39,2007/3/30,4.2,3.76,13.03,14.07,6.84,1.78,1.34,2.7,0.82,0.86,1.45,2.81,2.63,1.3,4.9,4.59,2.34,2.79,4.3,4.04,1.81,4.1,3.54,3.62,5.05,2.48,3.46,7.92,6.75,9.05,9.08,13.66,21.13
40,2007/4/6,4.22,3.76,13,14.02,6.82,1.73,1.41,2.71,0.89,0.85,1.45,2.83,2.59,1.39,5.02,4.56,2.28,2.89,4.24,4.05,1.77,3.78,3.49,3.59,4.89,2.45,3.38,8,6.71,9.1,9.06,13.79,21.28
41,2007/4/13,4.22,3.77,12.96,13.98,6.83,1.73,1.52,2.65,1,0.91,1.43,2.8,2.51,1.46,4.75,4.55,2.3,3.03,4.23,3.92,1.74,3.68,3.49,3.56,4.97,2.43,3.32,8.22,6.8,9.23,9.3,13.83,21.4
42,2007/4/20,4.19,3.77,13.18,14.09,6.89,1.54,1.47,2.38,0.99,0.92,1.4,2.53,2.18,1.54,4.62,4.33,2.33,2.99,4.48,3.81,1.65,3.44,3.53,3.7,4.98,2.49,3.27,8.35,6.82,9.35,9.2,13.79,21.57
43,2007/4/27,4.19,3.77,13.56,14.1,6.92,1.32,1.48,2.01,0.92,0.86,1.35,2.53,1.87,1.51,4.46,3.9,2.29,2.67,4.76,3.96,1.52,3.34,3.63,3.49,5.21,2.46,3.12,8.45,7.03,9.34,9.35,14.06,21.59
44,2007/5/4,4.18,3.76,13.77,14.25,6.96,1.34,1.44,1.84,0.88,0.84,1.41,2.67,1.82,1.55,4.35,4.03,2.13,2.54,4.21,3.79,1.4,3.27,3.82,3.45,5.33,2.5,3.02,8.74,7.12,9.63,9.6,14.56,21.8
45,2007/5/11,4.18,3.77,14.25,14.23,7.06,1.29,1.43,1.58,0.87,0.78,1.39,2.67,1.69,1.58,4.03,3.69,1.95,2.25,3.54,3.08,1.27,3.11,3.73,3.34,5.36,2.41,2.75,8.71,7.27,9.76,9.69,14.2,21.29
46,2007/5/18,4.18,3.77,15.04,14.41,7.13,1.2,1.48,1.58,0.78,0.77,1.34,2.68,1.42,1.55,3.68,3.21,1.85,2.11,3.15,2.73,1.16,2.93,3.64,3.31,5.15,2.43,2.58,8.82,7.3,9.75,9.68,14.19,21.49
47,2007/5/25,4.19,3.79,16.53,14.89,7.55,1.27,1.49,1.57,0.86,0.83,1.38,2.56,1.34,1.48,3.35,2.8,1.88,1.89,2.89,2.2,1.1,2.69,3.75,3.18,5.13,2.47,2.29,9.05,7.57,10.14,10.02,14.6,20.75
48,2007/6/1,4.2,3.82,16.48,14.99,7.83,1.37,1.54,1.56,0.88,0.86,1.39,2.47,1.33,1.43,3.2,2.55,1.72,1.86,2.49,2,1.02,2.48,3.76,3.1,5.58,2.48,2.07,9.18,7.19,10.03,10.18,13.85,22.41
49,2007/6/8,4.19,3.83,16.34,15.07,7.7,1.46,1.68,1.58,1,0.91,1.37,2.54,1.27,1.42,2.79,2.44,1.7,1.85,2.3,1.81,0.93,2.54,3.73,2.81,7,2.43,1.63,9.45,7.24,10.25,10.06,13.37,22.31
50,2007/6/15,4.16,3.85,16.41,15.08,7.53,1.73,1.72,1.82,1.14,0.99,1.29,2.61,1.21,1.38,2.68,2.26,1.54,1.89,2.24,1.85,0.87,2.46,3.9,2.55,7.5,2.6,1.53,9.64,7.23,10.18,10.06,13.08,21.96
51,2007/6/22,4.17,3.89,16.57,15.22,7.41,1.72,1.84,1.93,1.24,1.01,1.25,2.55,1.2,1.35,2.56,2.06,1.51,1.81,2.2,1.96,0.84,2.35,3.91,2.55,7.37,2.56,1.43,9.84,7.32,10.45,10.36,13.42,22.11
52,2007/6/29,4.16,3.9,16.97,15.34,7.3,1.56,1.88,1.91,1.19,0.97,1.23,2.6,1.19,1.26,2.23,1.99,1.6,1.79,2.24,2,0.83,2.37,3.78,2.45,7.15,2.48,1.28,9.7,7.31,10.26,10.29,13.52,21.86
53,2007/7/6,4.17,3.89,18.05,15.37,7.16,1.66,2.02,2.05,1.25,1.07,1.24,2.55,1.28,1.13,2.04,2.08,1.59,1.64,2.26,1.95,0.77,2.41,3.73,2.46,7.2,2.56,1.2,9.44,7.26,10.31,10.33,13.77,21.66
54,2007/7/13,4.18,3.89,18.79,15.42,7.05,1.64,2.08,2.16,1.34,1.1,1.24,2.57,1.27,0.97,1.93,2.09,1.65,1.53,2.1,1.95,0.77,2.56,3.84,2.38,6.56,2.61,1.14,9.11,7.22,10.17,10.15,13.72,21.63
55,2007/7/20,4.18,3.89,19.33,15.52,7.07,1.7,2.2,2.17,1.33,1.1,1.27,2.56,1.39,0.91,1.87,2.22,1.87,1.55,2.25,2.03,0.79,2.56,3.77,2.35,5.67,2.57,1.01,9.14,7.22,10.19,10.34,13.71,22.54
56,2007/7/27,4.19,3.89,19.74,15.66,7.24,1.6,2.01,2.26,1.25,1.13,1.34,2.61,1.64,0.82,2.03,2.44,2.21,1.59,2.32,2.22,0.8,2.68,3.8,2.44,5.4,2.54,1.03,8.72,7.3,10.15,10.28,13.33,22.12
57,2007/8/3,4.18,3.88,20.22,15.92,7.5,1.58,2.1,2.34,1.27,1.19,1.37,2.64,1.58,0.73,1.85,2.34,2.18,1.55,2.21,2.01,0.89,2.68,3.72,2.43,5.02,2.63,1.12,8.73,7.39,10.18,10.43,13.41,21.08
58,2007/8/10,4.2,3.89,19.92,15.98,7.59,1.71,2.06,2.35,1.24,1.18,1.42,2.69,1.6,0.75,1.85,2.35,2.26,1.46,2.13,2.04,0.9,2.63,3.47,2.52,4.68,2.76,1.18,8.73,7.45,10.08,10.51,13.65,20.94
59,2007/8/17,4.21,3.9,19.64,16.06,7.63,2.11,2.13,2.49,1.29,1.23,1.43,2.66,1.9,0.75,2.04,2.5,2.21,1.61,2.18,2.05,0.93,2.67,3.58,2.62,4.7,2.67,1.16,8.7,7.29,10.15,10.38,13.95,22.06
60,2007/8/24,4.22,3.9,18.99,16.09,7.66,2.14,2.02,3.05,1.32,1.28,1.43,2.64,1.87,0.75,2.08,2.51,2.12,1.65,2.34,2.07,0.99,2.54,3.55,2.79,4.6,2.72,1.18,8.69,7.35,10.14,10.41,13.67,22.23
61,2007/8/31,4.22,3.9,18.46,16.13,7.65,2.1,2.07,3.08,1.25,1.31,1.44,2.69,1.74,0.79,2.2,2.46,2.04,1.68,2.37,2.19,0.97,2.58,3.81,2.89,4.66,2.79,1.22,8.61,7.21,10.09,10.41,13.69,22.14
62,2007/9/7,4.22,3.9,18.27,16.15,7.69,1.89,2.06,2.9,1.13,1.24,1.45,2.79,1.65,0.78,2.36,2.53,2,1.72,2.58,2.06,0.99,2.61,3.61,2.94,4.43,2.69,1.24,8.75,7.32,10.11,10.34,13.66,22.25
63,2007/9/14,4.22,3.91,18.1,16.18,7.72,1.7,2.04,2.95,1.04,1.21,1.48,2.9,1.63,0.74,2.6,2.47,2.09,1.72,2.53,2.2,1.03,2.56,3.62,2.98,4.43,2.68,1.3,8.79,7.22,9.96,10.25,13.38,22.27
64,2007/9/21,4.23,3.93,17.94,16.12,7.73,1.7,2.01,3.1,1.09,1.18,1.44,2.97,1.65,0.73,2.54,2.55,1.98,1.67,2.56,2.26,1.04,2.44,3.91,3.08,4.35,2.7,1.37,8.67,7.2,9.9,10.05,13.8,22.08
65,2007/9/28,4.23,3.93,17.75,16.09,7.75,1.62,1.93,2.77,0.99,1.15,1.42,3.06,1.68,0.73,2.83,2.39,1.93,1.62,2.5,2.15,1.05,2.39,4,3.08,4.49,2.64,1.49,8.42,7.18,9.75,10.17,14.11,22.21
66,2007/10/5,4.23,3.94,17.75,16.03,7.72,1.8,1.98,2.81,1.03,1.13,1.4,3.03,2.03,0.74,2.81,2.55,2.01,1.63,2.63,2.21,1.12,2.44,4.02,2.99,4.54,2.66,1.59,8.39,7.18,9.76,10.01,13.98,22.25
67,2007/10/12,4.23,3.93,17.79,16,7.66,2.02,2.06,3.31,1.07,1.11,1.43,3.03,2.31,0.78,3.26,2.94,2.3,1.86,2.76,2.42,1.08,2.38,4.16,2.96,4.47,2.48,1.84,8.31,7.14,9.68,9.93,13.85,21.77
68,2007/10/19,4.23,3.93,17.92,15.95,7.62,2.17,2.18,3.2,1.06,1.19,1.47,3.05,2.74,0.82,3.69,3.5,2.72,2.48,2.98,2.65,1.04,2.38,4.09,2.89,4.39,2.48,1.96,8.25,7.17,9.71,9.94,13.58,21.68
69,2007/10/26,4.23,3.92,18.12,15.91,7.55,1.84,2.24,3.03,1.07,1.19,1.51,3.09,2.69,0.89,4.21,3.64,2.88,2.69,3.29,2.92,1.05,2.41,4.15,2.92,4.44,2.37,2.1,8.22,7.08,9.59,9.62,13.63,21.64
70,2007/11/2,4.23,3.92,18.46,15.89,7.46,1.77,2.19,2.88,1.05,1.13,1.47,3.12,2.39,0.91,4.13,3.54,2.53,2.79,3.39,3.06,1.09,2.36,4.14,3.11,4.63,2.49,2.37,8.25,6.89,9.48,9.51,13.89,21.68
71,2007/11/9,4.24,3.92,19.05,15.91,7.39,1.75,2.13,2.81,1.07,1.13,1.46,3.3,2.54,0.98,4.11,3.74,2.37,2.94,3.34,3.14,1.08,2.44,4.15,3.05,4.64,2.4,2.5,8.22,6.94,9.44,9.39,13.74,21.58
72,2007/11/16,4.24,3.93,19.35,15.93,7.33,1.73,2.03,2.72,0.99,1.13,1.44,3.34,2.59,1.09,4.27,3.87,2.42,2.97,3.53,3.42,1.1,2.42,4.14,2.95,4.77,2.35,2.76,8.21,6.98,9.46,9.33,13.99,21.58
73,2007/11/23,4.24,3.94,19.74,15.83,7.31,1.69,1.96,2.54,0.93,1.13,1.45,3.32,2.58,1.16,4.17,3.94,2.32,2.89,3.66,3.49,1.09,2.47,4.4,3.11,4.91,2.45,3.19,8.23,6.92,9.52,9.3,14.19,21.37
74,2007/11/30,4.24,3.95,20.12,15.86,7.26,1.66,1.85,2.48,0.88,1.09,1.43,3.35,2.54,1.23,4.23,4.09,2.17,2.85,3.67,3.3,1.06,2.39,4.28,3.12,4.74,2.44,3.31,8.26,6.92,9.31,9.31,14.17,21.33
75,2007/12/7,4.24,3.96,20.43,15.84,7.25,1.61,1.77,2.37,0.89,1.07,1.42,3.34,2.52,1.32,4.45,4.06,2.29,2.89,3.78,3.28,1.09,2.35,4.41,3.13,4.79,2.42,3.53,8.51,6.95,9.49,9.35,14.42,21.28
76,2007/12/14,4.24,3.98,20.69,15.89,7.25,1.66,1.68,2.27,0.83,1.03,1.44,3.33,2.48,1.41,4.77,3.95,2.42,2.9,3.96,3.29,1.06,2.37,4.61,3.15,4.79,2.43,3.63,8.52,7.04,9.6,9.35,14.37,21.51
77,2007/12/21,4.24,3.99,20.97,15.98,7.22,1.63,1.59,2.22,0.79,0.99,1.4,3.31,2.36,1.5,4.65,3.85,2.4,2.82,3.98,3.23,1.06,2.33,4.71,3.17,4.88,2.48,3.69,8.6,7.07,9.59,9.33,14.54,21.61
78,2007/12/28,4.25,4.01,21.34,16,7.21,1.75,1.55,2.21,0.76,0.99,1.44,3.38,2.68,1.63,5.21,3.88,2.56,3.03,4.17,3.45,1.06,2.27,4.73,3.22,5.14,2.54,3.96,8.72,7.2,9.65,9.44,14.89,21.46
79,2008/1/4,4.25,4.03,21.49,15.99,7.19,1.85,1.56,2.29,0.75,1.03,1.41,3.33,2.69,1.63,5.34,3.82,2.59,3.11,4.04,3.42,1.04,2.3,4.82,3.26,5.22,2.59,4.02,8.64,7.14,9.71,9.48,14.87,21.63
80,2008/1/11,4.25,4.05,21.96,16.02,7.17,1.75,1.5,2.11,0.71,0.98,1.39,3.34,2.62,1.69,5.81,3.7,2.57,3.14,3.94,3.35,1.02,2.16,4.89,3.44,5.21,2.6,4.02,8.69,7.11,9.66,9.35,14.94,21.45
81,2008/1/18,4.26,4.06,22.07,16.02,7.24,1.86,1.65,2.4,0.75,1.1,1.42,3.42,2.76,1.72,5.78,3.96,2.6,3.25,4.14,3.56,1.04,2.17,5,3.62,5.28,2.58,4.05,8.94,7.27,9.77,9.67,15.27,21.88
82,2008/1/25,4.26,4.06,22,16.14,7.32,2.23,1.83,2.6,0.9,1.29,1.52,3.49,3.63,1.89,6.42,4.57,2.87,3.87,4.47,4.14,1.13,2.06,5.15,3.61,5.3,2.73,4.16,9.39,7.38,10.34,9.82,15.31,23.35
83,2008/2/1,4.26,4.06,22.57,16.54,7.44,3.13,2.36,3.15,1.13,1.67,1.78,3.89,5.42,2.19,7.88,5.9,3.53,4.87,5.83,5.63,1.4,1.88,5.55,3.78,5.13,2.84,4.44,9.82,7.83,11.25,10.71,16.53,24.47
84,2008/2/8,4.28,4.08,22.88,16.45,7.47,3.41,2.59,3.65,1.18,1.67,1.84,4.19,4.72,2.14,7.89,5.45,3.39,4.33,5.66,5.26,1.45,2.1,5.36,3.7,5.09,2.98,4.32,9.84,7.94,11.3,10.57,17.11,24.45
85,2008/2/15,4.28,4.08,22.65,16.41,7.43,3.43,2.65,3.8,1.11,1.74,1.74,4.17,4.15,2.22,7.85,5.62,3.21,4.42,5.33,5.02,1.35,2.07,5.15,3.6,5.17,2.92,4.24,9.68,7.63,10.97,10.42,17.11,23.45
86,2008/2/22,4.29,4.08,22.82,16.43,7.34,2.79,2.55,3.57,0.99,1.71,1.71,4.01,3.63,2.3,7.79,6.24,3.02,4.14,5.24,5,1.32,1.94,5.2,3.72,4.98,2.81,4.16,9.54,7.15,10.76,10.31,16.37,23.83
87,2008/2/29,4.29,4.07,22.7,16.5,7.21,2.42,2.39,3.4,0.93,1.72,1.71,3.83,3.73,2.31,7.27,6.33,3,4.4,5.44,5.37,1.31,1.88,5.19,3.73,5,2.9,4.1,9.63,7.04,10.71,10.2,15.82,23.74
88,2008/3/7,4.29,4.07,22.73,16.43,7.13,2.39,2.36,3.07,0.89,1.63,1.69,3.83,3.78,2.35,7.8,7.25,3.21,4.65,5.27,5.28,1.3,1.82,5.08,3.72,5.09,2.79,3.98,9.56,7.18,10.63,10.49,15.99,25.08
89,2008/3/14,4.29,4.08,22.73,16.39,7.1,2.01,2.11,2.76,0.81,1.57,1.67,3.86,3.38,2.4,7.81,7.18,3.14,4.35,5.05,4.95,1.31,1.62,4.78,3.66,4.92,2.68,4.04,9.78,7.36,10.82,10.3,15.67,25.01
90,2008/3/21,4.29,4.08,22.83,16.44,7.09,1.75,1.77,2.5,0.8,1.58,1.72,3.85,3.18,2.47,6.73,7.24,3.05,3.76,5.43,5.09,1.29,1.65,4.88,3.64,4.64,2.8,4.16,9.81,7.45,11.11,10.38,15.69,25.01
91,2008/3/28,4.29,4.08,22.75,16.47,7.1,1.77,1.58,2.38,0.91,1.51,1.69,3.58,3.19,2.61,6.21,6.32,3.06,3.7,5.64,5.36,1.29,1.5,4.88,3.65,4.58,2.96,4.38,10.18,7.76,11.9,10.86,15.9,24.86
92,2008/4/4,4.29,4.08,22.76,16.54,7.07,1.74,1.55,2.37,1.01,1.46,1.67,3.51,3.13,2.64,5.94,6.18,3.08,3.71,5.85,5.45,1.3,1.52,4.92,3.71,4.55,2.97,4.6,10.3,7.85,12.11,11.11,16.35,24.86
93,2008/4/11,4.3,4.09,22.69,16.53,7.08,1.55,1.54,2.14,1.03,1.39,1.68,3.6,2.75,2.81,5.78,5.71,3.1,3.44,5.85,5.01,1.28,1.47,5.02,3.82,4.52,3,4.82,10.63,7.99,12.28,11.47,16.47,24.92
94,2008/4/18,4.3,4.09,22.69,16.57,7.09,1.51,1.56,2.01,0.95,1.28,1.78,3.65,2.4,3,5.48,5.05,2.95,3.15,4.93,3.99,1.31,1.51,4.92,3.85,4.6,2.91,4.88,10.7,8.21,12.66,11.48,16.27,24.9
95,2008/4/25,4.3,4.09,22.46,16.6,7.11,1.48,1.59,1.88,1,1.24,1.88,3.54,2.34,2.91,5.19,5.03,3.11,3.13,4.44,3.53,1.25,1.52,4.97,3.83,4.52,2.95,4.67,10.85,8.17,12.58,11.52,16.34,24.64
96,2008/5/2,4.31,4.09,22.21,16.64,7.13,1.4,1.6,1.9,0.97,1.22,1.89,3.52,2.14,2.62,4.97,4.72,3.1,3.02,4.01,3.37,1.19,1.49,5,3.83,4.57,2.92,4.34,10.76,8.32,12.72,11.64,16.49,24.81
97,2008/5/9,4.32,4.1,21.82,16.59,7.19,1.18,1.65,1.88,0.94,1.05,1.94,3.42,1.53,2.09,4.62,3.95,2.7,2.6,3.36,2.9,1.15,1.41,5.01,3.8,4.72,2.95,3.38,11.22,8.65,12.96,11.84,16.03,24.75
